[2022-06-25T09:54:37.609] [INFO] info - post params:{}
[2022-06-25T09:54:45.483] [INFO] info - get params:{}
[2022-06-25T09:54:45.483] [INFO] info - post params:{}
[2022-06-25T09:55:54.935] [INFO] info - get params:{}
[2022-06-25T09:55:54.936] [INFO] info - post params:{}
[2022-06-25T09:56:14.781] [INFO] info - get params:{}
[2022-06-25T09:56:14.782] [INFO] info - post params:{}
[2022-06-25T09:58:18.194] [INFO] info - get params:{}
[2022-06-25T09:58:18.195] [INFO] info - post params:{}
[2022-06-25T09:59:27.948] [INFO] info - get params:{}
[2022-06-25T09:59:27.949] [INFO] info - post params:{}
[2022-06-25T10:00:57.685] [INFO] info - get params:{}
[2022-06-25T10:00:57.687] [INFO] info - post params:{}
[2022-06-25T10:06:20.786] [INFO] info - get params:{"menuState":"1"}
[2022-06-25T10:06:20.787] [INFO] info - post params:{}
[2022-06-25T10:26:13.957] [INFO] info - get params:{"state":"1","pageNum":"1","pageSize":"10","total":"0"}
[2022-06-25T10:26:13.958] [INFO] info - post params:{}
[2022-06-25T10:26:13.968] [INFO] info - get params:{}
[2022-06-25T10:26:13.969] [INFO] info - post params:{}
[2022-06-25T12:52:16.854] [INFO] info - ***数据库连接成功***
[2022-06-25T12:52:39.671] [INFO] info - get params:{}
[2022-06-25T12:52:39.672] [INFO] info - post params:{}
[2022-06-25T12:52:46.106] [INFO] info - get params:{}
[2022-06-25T12:52:46.108] [INFO] info - post params:{}
[2022-06-25T12:52:57.862] [INFO] info - get params:{}
[2022-06-25T12:52:57.863] [INFO] info - post params:{}
[2022-06-25T12:53:10.608] [INFO] info - get params:{}
[2022-06-25T12:53:10.609] [INFO] info - post params:{}
[2022-06-25T12:53:12.834] [INFO] info - get params:{}
[2022-06-25T12:53:12.834] [INFO] info - post params:{"userName":"admin","userPwd":"123456"}
[2022-06-25T12:53:12.889] [INFO] info - get params:{}
[2022-06-25T12:53:12.889] [INFO] info - post params:{}
[2022-06-25T12:55:15.132] [INFO] info - get params:{}
[2022-06-25T12:55:15.132] [INFO] info - post params:{}
[2022-06-25T13:01:29.752] [INFO] info - get params:{}
[2022-06-25T13:01:29.753] [INFO] info - post params:{}
[2022-06-25T13:02:30.751] [INFO] info - get params:{}
[2022-06-25T13:02:30.751] [INFO] info - post params:{}
[2022-06-25T13:03:05.518] [INFO] info - get params:{}
[2022-06-25T13:03:05.519] [INFO] info - post params:{}
[2022-06-25T13:03:20.202] [INFO] info - get params:{}
[2022-06-25T13:03:20.202] [INFO] info - post params:{}
[2022-06-25T13:03:23.567] [INFO] info - get params:{}
[2022-06-25T13:03:23.567] [INFO] info - post params:{"userName":"1678325432","userPwd":"1"}
[2022-06-25T13:03:59.547] [INFO] info - get params:{}
[2022-06-25T13:03:59.548] [INFO] info - post params:{"userName":"admin","userPwd":"123456"}
[2022-06-25T13:03:59.792] [INFO] info - get params:{}
[2022-06-25T13:03:59.793] [INFO] info - post params:{}
[2022-06-25T13:04:14.878] [INFO] info - get params:{}
[2022-06-25T13:04:14.878] [INFO] info - post params:{}
[2022-06-25T13:04:38.055] [INFO] info - get params:{}
[2022-06-25T13:04:38.056] [INFO] info - post params:{}
[2022-06-25T13:05:05.110] [INFO] info - get params:{}
[2022-06-25T13:05:05.110] [INFO] info - post params:{}
[2022-06-25T13:05:41.946] [INFO] info - get params:{}
[2022-06-25T13:05:41.947] [INFO] info - post params:{}
[2022-06-25T13:06:02.934] [INFO] info - get params:{}
[2022-06-25T13:06:02.935] [INFO] info - post params:{}
[2022-06-25T13:15:41.025] [INFO] info - get params:{}
[2022-06-25T13:15:41.025] [INFO] info - post params:{}
[2022-06-25T13:21:37.447] [INFO] info - get params:{"menuState":"1"}
[2022-06-25T13:21:37.448] [INFO] info - post params:{}
[2022-06-25T13:23:16.892] [INFO] info - get params:{}
[2022-06-25T13:23:16.892] [INFO] info - post params:{}
[2022-06-25T13:23:16.897] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-25T13:23:16.898] [INFO] info - post params:{}
[2022-06-25T13:23:31.629] [INFO] info - get params:{}
[2022-06-25T13:23:31.629] [INFO] info - post params:{}
[2022-06-25T13:23:31.633] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-25T13:23:31.634] [INFO] info - post params:{}
[2022-06-25T13:23:31.892] [INFO] info - get params:{"menuState":"1"}
[2022-06-25T13:23:31.892] [INFO] info - post params:{}
[2022-06-25T13:23:32.863] [INFO] info - get params:{}
[2022-06-25T13:23:32.863] [INFO] info - post params:{}
[2022-06-25T13:23:32.865] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-25T13:23:32.866] [INFO] info - post params:{}
[2022-06-25T13:24:28.675] [INFO] info - get params:{}
[2022-06-25T13:24:28.675] [INFO] info - post params:{}
[2022-06-25T13:24:28.834] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-25T13:24:28.834] [INFO] info - post params:{}
[2022-06-25T13:24:44.105] [INFO] info - get params:{"state":"1","pageNum":"1","pageSize":"10","total":"0"}
[2022-06-25T13:24:44.106] [INFO] info - post params:{}
[2022-06-25T13:24:44.123] [INFO] info - get params:{}
[2022-06-25T13:24:44.123] [INFO] info - post params:{}
[2022-06-25T13:33:08.988] [INFO] info - get params:{}
[2022-06-25T13:33:08.989] [INFO] info - post params:{}
[2022-06-25T13:37:47.968] [INFO] info - get params:{}
[2022-06-25T13:37:47.968] [INFO] info - post params:{}
[2022-06-25T13:38:55.033] [INFO] info - get params:{}
[2022-06-25T13:38:55.034] [INFO] info - post params:{}
[2022-06-25T14:09:29.194] [INFO] info - get params:{}
[2022-06-25T14:09:29.195] [INFO] info - post params:{}
[2022-06-25T14:10:39.057] [INFO] info - get params:{}
[2022-06-25T14:10:39.058] [INFO] info - post params:{}
[2022-06-25T14:15:13.755] [INFO] info - get params:{}
[2022-06-25T14:15:13.756] [INFO] info - post params:{}
[2022-06-25T14:41:51.214] [INFO] info - get params:{}
[2022-06-25T14:41:51.215] [INFO] info - post params:{}
[2022-06-25T14:44:13.876] [INFO] info - get params:{}
[2022-06-25T14:44:13.877] [INFO] info - post params:{}
[2022-06-25T14:48:05.417] [INFO] info - get params:{}
[2022-06-25T14:48:05.418] [INFO] info - post params:{}
[2022-06-25T14:49:27.065] [INFO] info - get params:{}
[2022-06-25T14:49:27.065] [INFO] info - post params:{}
[2022-06-25T14:51:16.537] [INFO] info - get params:{}
[2022-06-25T14:51:16.537] [INFO] info - post params:{}
[2022-06-25T14:51:41.734] [INFO] info - get params:{}
[2022-06-25T14:51:41.735] [INFO] info - post params:{}
[2022-06-25T14:52:04.831] [INFO] info - get params:{}
[2022-06-25T14:52:04.831] [INFO] info - post params:{}
[2022-06-25T14:52:21.675] [INFO] info - get params:{}
[2022-06-25T14:52:21.675] [INFO] info - post params:{}
[2022-06-25T14:57:26.189] [INFO] info - get params:{}
[2022-06-25T14:57:26.189] [INFO] info - post params:{}
[2022-06-25T15:02:17.023] [INFO] info - get params:{}
[2022-06-25T15:02:17.023] [INFO] info - post params:{}
[2022-06-25T15:12:09.320] [INFO] info - get params:{}
[2022-06-25T15:12:09.321] [INFO] info - post params:{}
[2022-06-25T15:17:00.245] [INFO] info - get params:{}
[2022-06-25T15:17:00.246] [INFO] info - post params:{}
[2022-06-25T15:19:05.562] [INFO] info - get params:{}
[2022-06-25T15:19:05.562] [INFO] info - post params:{}
[2022-06-25T15:27:47.921] [INFO] info - ***数据库连接成功***
[2022-06-25T15:33:40.404] [INFO] info - ***数据库连接成功***
[2022-06-25T15:34:34.546] [INFO] info - ***数据库连接成功***
[2022-06-25T15:36:04.710] [INFO] info - ***数据库连接成功***
[2022-06-25T15:37:45.902] [INFO] info - ***数据库连接成功***
[2022-06-25T15:38:14.963] [INFO] info - ***数据库连接成功***
[2022-06-25T15:44:53.460] [INFO] info - ***数据库连接成功***
[2022-06-25T15:45:27.376] [INFO] info - get params:{}
[2022-06-25T15:45:27.378] [INFO] info - post params:{}
[2022-06-25T15:45:42.026] [INFO] info - get params:{}
[2022-06-25T15:45:42.027] [INFO] info - post params:{}
[2022-06-25T15:46:56.049] [INFO] info - get params:{}
[2022-06-25T15:46:56.050] [INFO] info - post params:{}
[2022-06-25T15:46:56.056] [INFO] info - get params:{}
[2022-06-25T15:46:56.056] [INFO] info - post params:{}
[2022-06-25T15:47:04.794] [INFO] info - get params:{}
[2022-06-25T15:47:04.795] [INFO] info - post params:{}
[2022-06-25T15:47:04.800] [INFO] info - get params:{}
[2022-06-25T15:47:04.800] [INFO] info - post params:{}
[2022-06-25T15:55:44.986] [INFO] info - ***数据库连接成功***
[2022-06-25T16:02:31.733] [INFO] info - ***数据库连接成功***
[2022-06-25T16:02:33.368] [INFO] info - ***数据库连接成功***
[2022-06-25T16:04:06.814] [INFO] info - ***数据库连接成功***
[2022-06-25T16:05:17.355] [INFO] info - ***数据库连接成功***
[2022-06-25T16:08:07.340] [INFO] info - ***数据库连接成功***
[2022-06-25T16:16:57.357] [INFO] info - ***数据库连接成功***
[2022-06-25T16:17:16.018] [INFO] info - ***数据库连接成功***
[2022-06-25T16:17:56.171] [INFO] info - ***数据库连接成功***
