[2022-06-20T19:19:01.167] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-20T19:19:01.168] [INFO] info - post params:{}
[2022-06-20T19:19:01.201] [INFO] info - get params:{}
[2022-06-20T19:19:01.202] [INFO] info - post params:{}
[2022-06-20T19:19:15.143] [INFO] info - get params:{}
[2022-06-20T19:19:15.143] [INFO] info - post params:{"permissionList":{"checkedKeys":[],"halfCheckedKeys":[]},"_id":"62b04cabebd7db890ab88caa","roleName":"开发部","remark":"要好好挣钱啊！","createTime":"2022-06-20T10:31:23.005Z","updateTime":"2022-06-20T10:31:23.005Z","__v":0,"action":"edit"}
[2022-06-20T19:19:15.166] [INFO] info - get params:{"roleName":"","total":"2","pageSize":"10"}
[2022-06-20T19:19:15.166] [INFO] info - post params:{}
[2022-06-20T19:19:29.053] [INFO] info - get params:{}
[2022-06-20T19:19:29.054] [INFO] info - post params:{"_id":"60f2d87f4aecc10bf16c7465","action":"delete"}
[2022-06-20T19:19:29.406] [INFO] info - get params:{"roleName":"","total":"2","pageSize":"10"}
[2022-06-20T19:19:29.407] [INFO] info - post params:{}
[2022-06-20T19:19:30.557] [INFO] info - get params:{}
[2022-06-20T19:19:30.558] [INFO] info - post params:{"_id":"62b04cabebd7db890ab88caa","action":"delete"}
[2022-06-20T19:19:30.887] [INFO] info - get params:{"roleName":"","total":"1","pageSize":"10"}
[2022-06-20T19:19:30.888] [INFO] info - post params:{}
[2022-06-20T19:19:59.217] [INFO] info - get params:{}
[2022-06-20T19:19:59.217] [INFO] info - post params:{"permissionList":{"checkedKeys":[],"halfCheckedKeys":[]},"_id":"62b04cabebd7db890ab88caa","roleName":"LeeCode算法部","remark":"研究算法的","createTime":"2022-06-20T10:31:23.005Z","updateTime":"2022-06-20T10:31:23.005Z","__v":0,"action":"create"}
[2022-06-20T19:19:59.589] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-20T19:19:59.590] [INFO] info - post params:{}
[2022-06-20T19:20:42.557] [INFO] info - get params:{}
[2022-06-20T19:20:42.557] [INFO] info - post params:{"permissionList":{"checkedKeys":[],"halfCheckedKeys":[]},"_id":"62b04cabebd7db890ab88caa","roleName":"前端开发","remark":"前端专用","createTime":"2022-06-20T10:31:23.005Z","updateTime":"2022-06-20T10:31:23.005Z","__v":0,"action":"create"}
[2022-06-20T19:20:42.889] [INFO] info - get params:{"roleName":"","total":"1","pageSize":"10"}
[2022-06-20T19:20:42.889] [INFO] info - post params:{}
[2022-06-20T19:21:10.301] [INFO] info - get params:{}
[2022-06-20T19:21:10.301] [INFO] info - post params:{}
[2022-06-20T19:21:10.608] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-20T19:21:10.609] [INFO] info - post params:{}
[2022-06-20T19:24:34.938] [INFO] info - ***数据库连接成功***
[2022-06-20T19:26:07.679] [INFO] info - ***数据库连接成功***
[2022-06-23T13:52:53.553] [INFO] info - ***数据库连接成功***
[2022-06-23T13:53:07.935] [INFO] info - get params:{}
[2022-06-23T13:53:07.936] [INFO] info - post params:{}
[2022-06-23T13:53:12.080] [INFO] info - get params:{}
[2022-06-23T13:53:12.080] [INFO] info - post params:{}
[2022-06-23T13:53:12.085] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-23T13:53:12.086] [INFO] info - post params:{}
[2022-06-23T13:53:27.973] [INFO] info - get params:{"menuState":"1"}
[2022-06-23T13:53:27.973] [INFO] info - post params:{}
[2022-06-23T13:54:46.503] [INFO] info - ***数据库连接成功***
[2022-06-23T13:55:13.166] [INFO] info - get params:{}
[2022-06-23T13:55:13.167] [INFO] info - post params:{}
[2022-06-23T13:55:13.187] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-23T13:55:13.188] [INFO] info - post params:{}
